,returns,divergent,cummret,results
2008-11-19,0.0001678612988820845,1.0,1.2412095727557135,NONE
2008-11-20,0.0006040275098033814,1.0,1.2419592974830893,NONE
2008-11-21,0.00107060184178027,1.0,1.2432889413943908,NONE
2008-11-24,0.00012622433836640985,1.0,1.2434458747184165,NONE
2008-11-25,0.001176549727922005,1.0,1.244908850624002,NONE
2008-11-26,0.00033579074613736715,1.0,1.245326879495826,NONE
2008-11-28,0.001260210958009475,1.0,1.2468962540756705,NONE
2008-12-01,0.00071619765269074,1.0,1.2477892782459885,NONE
2008-12-02,-0.002474039376086089,1.0,1.24470219843855,NONE
2008-12-03,0.0,0.0,1.24470219843855,NONE
2008-12-04,0.0,1.0,1.24470219843855,WIN
2008-12-05,0.0016000276142110017,1.0,1.2466937563275209,NONE
2008-12-08,0.0010870965693612605,1.0,1.2480490328330687,NONE
2008-12-09,0.0005992205700356707,1.0,1.2487968894859554,NONE
2008-12-10,0.0004656499100520626,1.0,1.249378391645218,NONE
2008-12-11,3.386524271788323e-05,1.0,1.2494207021476975,NONE
2008-12-12,4.0472720553968666e-05,1.0,1.24947126960263,NONE
2008-12-15,7.176065467807535e-05,1.0,1.249560932478938,NONE
2008-12-16,0.002735433188776816,1.0,1.2529790229250397,NONE
2008-12-17,0.0009638123554094862,1.0,1.2541866595884037,NONE
2008-12-18,0.002852432502243381,1.0,1.2577641423800938,NONE
2008-12-19,0.00047942757086469475,1.0,1.2583671491875956,NONE
2008-12-22,0.0005013037682480991,1.0,1.258997973381323,NONE
2008-12-23,-0.0016679080481686436,1.0,1.2568980805288923,NONE
2008-12-24,-0.0026877475736994424,1.0,1.2535198557625633,NONE
2008-12-26,-0.0016740079580603823,1.0,1.25142145354843,NONE
2008-12-29,0.0018532806185374258,1.0,1.2537406886739133,NONE
2008-12-30,-0.0007681807339296656,1.0,1.2527775892315303,NONE
2008-12-31,-0.00013763616290557923,1.0,1.2526051617311742,NONE
2009-01-02,0.00024211089032022664,1.0,1.2529084310821008,NONE
2009-01-05,-0.0024628744298491622,1.0,1.2498226749442463,NONE
2009-01-06,-0.0012248566777642621,1.0,1.2482918212948195,NONE
2009-01-07,0.0002204751814267568,1.0,1.248567038660593,NONE
2009-01-08,-0.003052252885471632,1.0,1.2447560963141364,NONE
2009-01-09,-0.0020277901610685893,1.0,1.2422319921491005,NONE
2009-01-12,0.0010047924998372146,1.0,1.2434801775378699,NONE
2009-01-13,0.000921418085182815,1.0,1.2446259426620196,NONE
2009-01-14,0.0007477426055523327,1.0,1.245556602507324,NONE
2009-01-15,0.0009099280647932896,1.0,1.246689969416234,NONE
2009-01-16,0.001142291526863242,1.0,1.2481140528049235,NONE
2009-01-20,0.0014648399995273662,1.0,1.2499423401934444,NONE
2009-01-21,-1.2195272271593727e-05,1.0,1.249927096806282,NONE
2009-01-22,0.00030181788106354093,1.0,1.250304347154124,NONE
2009-01-23,0.0024662000696486323,1.0,1.2533878478221576,NONE
2009-01-26,-0.0005069371932966411,1.0,1.2527524589044705,NONE
2009-01-27,-0.0026144967225881412,1.0,1.2494771417064505,NONE
2009-01-28,8.484744791190622e-05,1.0,1.2495831566531486,NONE
2009-01-29,-5.1571919862140924e-05,1.0,1.2495187132507326,NONE
2009-01-30,0.0008587006289801653,1.0,1.2505916757557236,NONE
2009-02-02,-0.0009597677304896968,1.0,1.2493913982213143,NONE
2009-02-03,0.0014331766953461274,1.0,1.251181996856611,NONE
2009-02-04,-1.8023730402893373e-05,1.0,1.2511594458896145,NONE
2009-02-05,0.003289855483022021,1.0,1.2552755796528092,NONE
2009-02-06,-0.0008104762393966293,1.0,1.2542582086216056,NONE
2009-02-09,0.00015241465220690266,1.0,1.2544493759502504,NONE
2009-02-10,0.00031347950537182184,1.0,1.2548426201201373,NONE
2009-02-11,0.0011071549962838358,1.0,1.256231925396553,NONE
2009-02-12,8.223004109499457e-05,1.0,1.2563352253994031,NONE
2009-02-13,0.0006884255310024481,1.0,1.2572001186440658,NONE
2009-02-17,-0.0028410861109918716,1.0,1.2536283048482488,NONE
2009-02-18,0.000805773227513875,1.0,1.2546384449735493,NONE
2009-02-19,0.0006769537496172603,1.0,1.255487777173288,NONE
2009-02-20,9.480111041770562e-05,1.0,1.2556067988086796,NONE
2009-02-23,-0.0016566097379056314,1.0,1.2535267483587926,NONE
2009-02-24,0.0005541549374090231,1.0,1.25422139639557,NONE
2009-02-25,-0.00087233045589419,1.0,1.25312730087306,NONE
2009-02-26,-0.0017094724304040504,1.0,1.2509851143004307,NONE
2009-02-27,0.0004412912736612151,1.0,1.2515371631148513,NONE
2009-03-02,0.0007569739044806412,1.0,1.252484544087817,NONE
2009-03-03,-0.0023323056249501123,1.0,1.2495633673404778,NONE
2009-03-04,0.0,0.0,1.2495633673404778,NONE
2009-03-05,0.0,1.0,1.2495633673404778,WIN
2009-03-06,-0.0004637576027737081,1.0,1.2489838728287261,NONE
2009-03-09,0.0023637098433741026,1.0,1.251936108303147,NONE
2009-03-10,-0.00239345611555326,1.0,1.248939654168447,NONE
2009-03-11,0.0030664502595912635,1.0,1.2527694654951855,NONE
2009-03-12,0.003938619517053023,1.0,1.2577036477623529,NONE
2009-03-13,-0.002199251460819559,1.0,1.2549376411777335,NONE
2009-03-16,-0.0003758348177008517,1.0,1.2544659919181356,NONE
2009-03-17,0.0003506068519717998,1.0,1.2549058162904678,NONE
2009-03-18,0.0008966343542567336,1.0,1.2560310079567103,NONE
2009-03-19,-0.003741294515101211,1.0,1.2513318260358448,NONE
2009-03-20,0.0,-1.0,1.2513318260358448,NONE
2009-03-23,-0.0022901445643993615,1.0,1.2484660952561888,NONE
2009-03-24,0.0013796619962320013,1.0,1.250188556481398,NONE
2009-03-25,0.004916063592048783,1.0,1.2563345629271123,NONE
